ASAS SUM,Safety Citizenship,Motivation,Adaptability,Well Being,Self Control,Emotionality,Sociability
3.407407407,7,4.9,4.67,5.56,4.74,4.73,5.43
3.296296296,4.125,5.4,4.44,5.99,5.23,4.84,3.36
3,4.875,5.3,4.33,5.99,5.54,5.98,5.48
2.814814815,5.125,5.2,5.44,5.75,5.15,5.63,5.64
2.703703704,2.625,4.3,3.89,5.59,4.32,4.39,4.26
3.074074074,4.75,5,4.56,5.5,4.4,5.12,5.08
3.185185185,5.5,4.7,4.56,5.08,4.92,4.73,4.69
3.222222222,4.125,5.4,5.22,5.22,5.81,3.86,5.36
2.888888889,6,5.9,6,5.72,5.54,6.59,5.21
3.333333333,4.5,5.5,4.78,5.84,5.19,5.6,5.27
3.37037037,6.5,6.3,5.67,6,5.96,5.76,5.41
3.148148148,5,5.3,3.78,5.94,5.87,4.75,5.58
2.962962963,4.5,5.6,5.22,5.95,5.42,4.82,5.58
3.259259259,4.5,4.6,3.89,4.75,4.41,5.1,3.86
3,7,4.8,5.11,5.9,5,5.42,5.43
3.37037037,5.75,5.6,4.67,5.97,5.72,5.73,5.43
3.074074074,6.125,5.3,5.11,5.41,5.35,5.31,4.98
3.407407407,7,5.7,5.22,6.59,5.59,5.85,6.18
3.111111111,5,4.1,3.44,4.23,4.34,4.01,4.32
3.333333333,5.625,5.7,4.89,5.52,5.42,4.05,4.92
3.185185185,5.125,5.3,4.11,6.02,5.49,5.78,5.58
3.592592593,6.125,6.1,4.67,6.26,5.02,6.26,5.75
3.111111111,3.375,4.5,4,5.65,5.06,4.52,4.7
3.074074074,5.625,5.5,5.11,6.24,5.03,5.68,5.53
2.703703704,3.75,5.2,4,5.21,5.1,4.02,4.34
3.111111111,4,4.3,4,4.41,4.32,4.43,4.14
3.814814815,7,5.1,4.67,5.02,5.92,4.64,5.03
3.740740741,6.625,5.1,6,6.31,5.72,6.52,6.56
2.777777778,3.375,4.8,4.22,4.68,4.29,5.24,4.78